ray_id,x,y,z
60,-0.999,-0.50797,-0.86676
61,0.999,-0.992064,-0.271876
62,0.986179,0.0701335,-0.999
63,-0.999,0.491141,0.681624
0,-0.968222,-0.570403,-0.999
1,0.272407,0.519642,-0.999
2,-0.462415,-0.841345,-0.999
3,0.999,-0.877076,-0.105634
4,-0.999,-0.968064,0.358074
5,-0.208281,0.999,-0.614299
6,-0.322214,0.999,-0.736288
7,0.999,0.124094,-0.228858
8,-0.481195,-0.999,-0.146873
9,0.943706,0.911255,-0.999
10,0.999,0.799514,0.726036
11,-0.947228,-0.999,0.421158
12,0.316853,0.596009,-0.999
13,0.836049,0.849218,-0.999
14,0.699782,-0.553641,0.999
15,0.675816,0.96307,-0.999
16,-0.999,0.47395,-0.87497
17,0.326725,-0.999,-0.955596
18,0.0454763,0.999,-0.298062
19,-0.999,0.47282,0.25811
20,-0.999,-0.323638,-0.74478
21,0.080349,0.999,-0.684037
22,-0.999,-0.698392,0.816233
23,0.999,-0.756447,-0.44729
24,0.999,-0.820581,-0.410876
25,-0.174113,0.999,0.446673
26,0.0506509,-0.999,-0.569004
27,0.962205,-0.999,0.983989
28,0.0824012,-0.287658,-0.999
29,0.999,-0.137955,0.656736
30,0.0223298,-0.999,0.691168
31,0.999,-0.128643,-0.081381
32,0.249197,0.999,0.141449
33,0.121472,0.999,0.609122
34,-0.669251,-0.999,-0.893136
35,-0.984301,-0.791364,-0.999
36,0.348194,-0.133594,-0.999
37,0.999,0.431467,0.896015
38,0.116489,0.407582,-0.999
39,0.017526,-0.999,-0.186996
40,-0.999,-0.111654,-0.688146
41,0.999,0.417166,0.748992
42,-0.914564,-0.0169177,-0.999
43,0.619023,-0.999,0.834059
44,-0.999,0.137013,0.379638
45,0.710639,0.239255,0.999
46,0.913475,-0.999,0.67582
47,0.388443,-0.999,-0.525598
48,0.643523,0.869925,0.999
49,0.318266,0.452946,0.999
50,0.999,0.704782,0.266386
51,0.856323,0.999,0.330651
52,-0.743075,-0.999,0.900438
53,0.271657,-0.0422073,-0.999
54,-0.569847,-0.781188,0.999
55,-0.648239,-0.999,-0.201546
56,0.999,0.411305,0.0692368
57,0.999,-0.729428,-0.65728
58,0.699331,-0.802708,-0.999
59,-0.96899,-0.322897,-0.999
60,-0.230698,0.0285236,-0.999
61,-0.999,-0.704388,-0.349549
62,0.999,0.155164,-0.956969
63,0.0223386,0.999,0.412418
0,-0.770033,-0.999,-0.933587
1,0.999,-0.0730021,-0.48803
2,-0.565169,-0.584103,0.999
3,0.945371,-0.999,-0.0717766
4,-0.900063,-0.999,0.633676
5,-0.999,0.434519,0.0225919
6,-0.331945,0.908431,-0.999
7,-0.630505,0.81629,0.999
8,0.916968,0.988036,-0.999
9,0.90447,0.999,-0.986154
10,0.910535,0.999,0.80642
11,0.999,0.157435,-0.187269
12,-0.999,0.0941181,0.78893
13,-0.999,-0.979185,0.742428
14,-0.999,-0.682621,0.300331
15,0.609474,0.999,-0.96161
16,0.286501,0.256025,-0.999
17,0.249018,-0.580977,-0.999
18,0.0584686,-0.999,0.758987
19,0.999,0.577886,-0.128733
20,-0.72004,0.204086,-0.999
21,0.999,0.773504,0.514014
22,0.999,-0.178201,-0.456347
23,0.380539,-0.999,-0.663517
24,0.8129,-0.999,-0.500607
25,-0.999,0.865169,-0.0286048
26,0.0651216,0.999,0.410639
27,0.978099,-0.961443,0.999
28,-0.465159,0.201262,0.999
29,0.0946115,-0.414164,0.999
30,-0.999,0.286218,0.354864
31,-0.126479,-0.607758,-0.999
32,-0.999,0.347214,-0.262261
33,0.147933,0.345712,-0.999
34,-0.860452,0.999,-0.00609541
35,-0.999,-0.74022,-0.887402
36,0.999,0.384421,0.944036
37,0.747677,0.375164,0.999
38,-0.621528,-0.999,0.960408
39,-0.367408,-0.0280571,-0.999
40,-0.712959,0.999,0.830403
41,0.359878,0.637864,0.999
42,0.999,-0.0232906,0.883757
43,0.999,-0.421637,0.902882
44,0.825856,-0.348604,0.999
45,0.999,0.499648,0.814702
46,0.860738,-0.853302,0.999
47,0.999,-0.30218,-0.877577
48,0.999,0.717613,0.0551039
49,0.999,0.286049,0.675257
50,0.13918,0.482134,0.999
51,0.587983,0.294733,-0.999
52,0.999,0.607022,-0.758366
53,-0.0306626,0.999,-0.474115
54,-0.999,-0.911997,-0.50738
55,-0.792284,0.999,0.197866
56,-0.999,0.502702,-0.359576
57,-0.999,-0.22165,0.678875
58,-0.44549,0.999,-0.651944
59,-0.999,-0.368043,-0.94678
60,0.999,0.887902,-0.785571
61,0.999,-0.416712,-0.427222
62,0.861677,0.999,-0.539365
63,0.999,0.511902,0.154726
0,0.152177,0.999,-0.629204
1,-0.139082,-0.999,0.311217
2,-0.667922,-0.326861,-0.999
3,0.0732535,0.999,0.478819
4,-0.768557,-0.956551,0.999
5,0.216016,-0.431765,0.999
6,-0.405706,0.221899,0.999
7,-0.999,0.973247,0.720353
8,0.925386,0.999,-0.993864
9,0.0206671,-0.999,-0.69679
10,0.697493,0.516193,0.999
11,-0.419726,0.999,-0.630561
12,-0.843542,0.0348685,0.999
13,-0.978097,-0.999,0.762254
14,0.999,-0.834307,-0.521328
15,-0.999,0.103077,-0.0545164
16,0.999,0.135068,-0.929604
17,-0.044871,0.999,-0.831061
18,0.0614309,-0.543217,0.999
19,-0.999,0.682951,-0.515576
20,-0.299311,0.999,-0.614076
21,0.625947,0.682032,0.999
22,0.145016,0.0440274,-0.999
23,-0.581887,-0.619993,-0.999
24,-0.222824,-0.000456989,-0.999
25,0.688986,0.591639,-0.999
26,0.0738272,-0.203614,0.999
27,0.999,-0.909694,0.976938
28,-0.999,0.678824,-0.953563
29,-0.999,-0.74847,0.583536
30,-0.431221,0.999,0.168088
