delay,gain
29.3463,-1.92762e-05
30.5743,-1.48016e-05
47.0588,-4.92372e-06
28.8797,1.95877e-05
48.0995,-1.17607e-05
49.1585,-9.20591e-06
59.8571,-6.04838e-06
91.1877,-3.17621e-06
95.9727,-2.41428e-06
99.9228,-1.85507e-06
106.954,-1.38649e-06
117.637,-1.00847e-06
122.382,-7.75495e-07
138.241,-4.39376e-07
141.019,-3.44578e-07
142.209,-2.73355e-07
166.814,-1.86429e-07
54.4714,5.31712e-06
58.1067,3.19006e-06
55.6091,-2.66667e-06
56.7355,-1.33823e-06
33.7793,-1.67465e-05
47.8251,-9.46257e-06
98.9942,-9.58705e-07
106.47,-7.13113e-07
109.297,-5.55736e-07
122.683,-3.16863e-07
128.62,-2.4179e-07
144.334,-1.72371e-07
15.6137,-3.62302e-05
48.6887,-9.29473e-06
128.135,-2.42704e-07
46.449,1.21786e-05
55.051,6.57642e-06
90.7121,2.04343e-06
100.977,1.46856e-06
111.255,1.06631e-06
121.556,7.80764e-07
126.002,6.02571e-07
129.728,4.68211e-07
136.219,3.56719e-07
142.87,2.7209e-07
156.795,1.58672e-07
46.0446,-1.22856e-05
48.5181,-9.32741e-06
92.2276,-3.92549e-06
96.9526,-2.98735e-06
138.829,-1.669e-06
145.911,-1.27039e-06
185.817,-7.98048e-07
194.977,-6.08445e-07
233.15,-4.07061e-07
244.081,-3.11065e-07
280.778,-2.16328e-07
287.577,-1.6897e-07
288.602,-1.07757e-07
288.674,-8.6184e-08
46.1545,1.22564e-05
50.4072,8.97786e-06
93.5645,3.8694e-06
103.084,2.80966e-06
142.533,1.62562e-06
146.363,1.01317e-06
156.581,7.57647e-07
18.0393,-3.13585e-05
21.409,-2.11382e-05
36.2789,-9.97933e-06
46.2779,-6.25852e-06
51.5068,-4.49852e-06
73.1426,-2.53428e-06
89.4145,-1.65847e-06
89.6303,-1.32358e-06
100.442,-7.55913e-07
100.538,-6.0415e-07
106.547,-4.56061e-07
111.158,-2.79771e-07
127.153,-1.95663e-07
46.891,-1.20638e-05
47.0402,-9.62046e-06
50.2755,-7.20109e-06
70.6444,-4.09985e-06
93.924,-2.46694e-06
98.4799,-1.88225e-06
100.07,-1.48188e-06
110.57,-1.07292e-06
116.736,-8.13e-07
120.502,-6.30074e-07
130.253,-3.73058e-07
131.886,-2.94751e-07
88.9404,8.53662e-07
89.2079,6.80881e-07
92.181,5.27137e-07
105.952,3.66897e-07
46.695,-1.21145e-05
47.1485,-9.59836e-06
50.8075,-7.12569e-06
88.5705,-3.27006e-06
94.7908,-2.44438e-06
103.732,-1.78695e-06
46.2247,-1.22377e-05
50.7377,-8.91937e-06
55.6828,-6.50181e-06
58.5013,-4.95085e-06
65.6676,-3.52845e-06
75.6494,-2.4503e-06
81.3254,-1.82343e-06
85.3987,-1.38916e-06
86.1127,-1.10212e-06
89.6207,-6.77746e-07
98.85,-4.91573e-07
109.635,-3.54573e-07
114.829,-2.16662e-07
57.9747,-8.38158e-07
26.9682,2.0976e-05
37.9914,9.52949e-06
41.902,6.91211e-06
116.987,4.15364e-07
125.257,3.10351e-07
127.201,2.44485e-07
14.6107,3.87171e-05
45.2332,8.00383e-06
50.4716,5.73849e-06
81.7151,1.16143e-06
81.9256,9.26756e-07
92.7166,5.24092e-07
143.412,2.16849e-07
147.171,1.6905e-07
28.2729,-2.00081e-05
28.5009,1.9848e-05
46.0602,-1.22814e-05
48.7935,-9.27477e-06
92.2874,-3.92295e-06
94.4093,-2.45426e-06
120.785,-1.53466e-06
124.044,-1.19547e-06
166.696,-7.11674e-07
170.776,-5.55734e-07
213.048,-3.56376e-07
213.249,-2.84832e-07
217.499,-2.23412e-07
258.91,-1.50143e-07
263.421,-1.18058e-07
305.121,-8.15386e-08
19.7769,2.86033e-05
118.993,9.96974e-07
153.986,3.94453e-07
154.448,3.14618e-07
161.302,2.40999e-07
188.644,1.31884e-07
27.6139,2.04855e-05
29.1155,1.55432e-05
18.1647,3.1142e-05
48.484,-1.16675e-05
63.1995,-7.16064e-06
72.7111,-4.97914e-06
92.4976,-3.13123e-06
92.6603,-2.50058e-06
104.965,-1.76596e-06
107.808,-1.37551e-06
112.235,-1.057e-06
129.914,-5.84425e-07
133.715,-4.5425e-07
139.554,-2.78556e-07
140.779,-2.20906e-07
12.8683,-4.39595e-05
31.4262,-1.44003e-05
48.4382,1.16785e-05
64.4,7.02715e-06
91.046,3.18115e-06
101.225,1.83121e-06
107.391,1.10468e-06
109.166,8.69379e-07
149.685,5.07233e-07
178.828,2.71725e-07
194.335,1.60027e-07
37.3785,-1.21072e-05
33.5024,-1.68849e-05
37.6565,-1.20178e-05
49.0114,-7.38682e-06
80.4451,-1.47471e-06
161.738,-3.00436e-07
162.059,-2.39873e-07
191.29,-1.62574e-07
192.784,-1.29052e-07
13.7941,4.10093e-05
60.1323,6.02071e-06
71.5564,4.04759e-06
111.533,2.07745e-06
114.151,1.62384e-06
121.501,1.22049e-06
129.939,9.12991e-07
155.944,6.08591e-07
156.861,4.84028e-07
182.862,3.32163e-07
196.107,2.47783e-07
203.772,1.9077e-07
205.084,1.5164e-07
221.336,1.12404e-07
19.1298,2.95709e-05
30.1669,1.50015e-05
45.5425,7.94947e-06
71.8577,3.2245e-06
79.8854,2.32037e-06
87.1152,1.70224e-06
91.32,1.29909e-06
103.595,9.16127e-07
112.914,6.72417e-07
12.6647,4.46663e-05
12.867,3.51711e-05
31.0905,1.16447e-05
51.0525,5.6732e-06
54.7243,4.23404e-06
75.4375,1.5726e-06
76.8501,1.23495e-06
31.4076,-1.80111e-05
33.3204,-1.35817e-05
67.0494,-3.45573e-06
80.5042,-2.30254e-06
89.1651,-1.66311e-06
91.045,-1.30301e-06
114.166,-5.32033e-07
121.666,-3.99388e-07
129.167,-3.00957e-07
131.293,-2.36867e-07
141.813,-1.75436e-07
